Epoch [70/300], Train Loss: 0.002770, Val Loss: 0.003044, Epoch Time: 348.90s
Epoch [71/300], Train Loss: 0.002579, Val Loss: 0.002947, Epoch Time: 349.87s
Epoch [72/300], Train Loss: 0.002643, Val Loss: 0.002948, Epoch Time: 352.10s
Epoch [73/300], Train Loss: 0.002812, Val Loss: 0.003067, Epoch Time: 352.94s
Epoch [74/300], Train Loss: 0.002606, Val Loss: 0.002756, Epoch Time: 358.07s
Epoch [75/300], Train Loss: 0.002556, Val Loss: 0.002766, Epoch Time: 353.51s
Epoch [76/300], Train Loss: 0.002519, Val Loss: 0.002702, Epoch Time: 348.79s
Epoch [77/300], Train Loss: 0.002403, Val Loss: 0.002677, Epoch Time: 356.59s
Epoch [78/300], Train Loss: 0.002476, Val Loss: 0.002402, Epoch Time: 345.79s
Epoch [79/300], Train Loss: 0.002391, Val Loss: 0.003094, Epoch Time: 356.51s
Epoch [80/300], Train Loss: 0.002401, Val Loss: 0.002532, Epoch Time: 360.00s
Epoch [81/300], Train Loss: 0.002421, Val Loss: 0.002387, Epoch Time: 350.55s
Epoch [82/300], Train Loss: 0.002349, Val Loss: 0.002463, Epoch Time: 360.03s
Epoch [83/300], Train Loss: 0.002393, Val Loss: 0.002353, Epoch Time: 358.33s
Epoch [84/300], Train Loss: 0.002309, Val Loss: 0.002397, Epoch Time: 344.38s
Epoch [85/300], Train Loss: 0.002242, Val Loss: 0.002580, Epoch Time: 353.75s
Epoch [86/300], Train Loss: 0.002196, Val Loss: 0.002309, Epoch Time: 340.82s
Epoch [87/300], Train Loss: 0.002125, Val Loss: 0.002391, Epoch Time: 358.24s
Epoch [88/300], Train Loss: 0.002103, Val Loss: 0.002372, Epoch Time: 338.83s
Epoch [89/300], Train Loss: 0.002184, Val Loss: 0.002406, Epoch Time: 355.74s
Epoch [90/300], Train Loss: 0.002250, Val Loss: 0.002442, Epoch Time: 347.84s
Epoch [91/300], Train Loss: 0.002168, Val Loss: 0.002297, Epoch Time: 363.71s
Epoch [92/300], Train Loss: 0.002223, Val Loss: 0.002286, Epoch Time: 363.83s
Epoch [93/300], Train Loss: 0.002085, Val Loss: 0.002357, Epoch Time: 360.41s
Epoch [94/300], Train Loss: 0.002099, Val Loss: 0.002147, Epoch Time: 361.25s
Epoch [95/300], Train Loss: 0.002089, Val Loss: 0.002116, Epoch Time: 356.89s
Epoch [96/300], Train Loss: 0.002145, Val Loss: 0.002140, Epoch Time: 342.50s
Epoch [97/300], Train Loss: 0.002168, Val Loss: 0.002336, Epoch Time: 363.57s
Epoch [98/300], Train Loss: 0.002217, Val Loss: 0.002241, Epoch Time: 348.97s
Epoch [99/300], Train Loss: 0.002050, Val Loss: 0.002233, Epoch Time: 358.36s
Epoch [100/300], Train Loss: 0.002099, Val Loss: 0.002169, Epoch Time: 358.10s
Epoch [101/300], Train Loss: 0.001977, Val Loss: 0.002092, Epoch Time: 340.98s
Epoch [102/300], Train Loss: 0.002011, Val Loss: 0.002217, Epoch Time: 341.03s
Epoch [103/300], Train Loss: 0.001979, Val Loss: 0.002347, Epoch Time: 350.28s
Epoch [104/300], Train Loss: 0.001959, Val Loss: 0.002262, Epoch Time: 348.59s
Epoch [105/300], Train Loss: 0.001918, Val Loss: 0.002146, Epoch Time: 355.08s
Epoch [106/300], Train Loss: 0.001877, Val Loss: 0.002185, Epoch Time: 357.37s
Epoch [107/300], Train Loss: 0.001879, Val Loss: 0.001885, Epoch Time: 367.29s
Epoch [108/300], Train Loss: 0.001863, Val Loss: 0.001917, Epoch Time: 358.95s
Epoch [109/300], Train Loss: 0.001811, Val Loss: 0.002097, Epoch Time: 340.64s
Epoch [110/300], Train Loss: 0.001812, Val Loss: 0.002052, Epoch Time: 349.30s
Epoch [111/300], Train Loss: 0.001799, Val Loss: 0.002196, Epoch Time: 350.87s
Epoch [112/300], Train Loss: 0.001890, Val Loss: 0.002085, Epoch Time: 348.90s
Epoch [113/300], Train Loss: 0.001866, Val Loss: 0.002099, Epoch Time: 359.97s
Epoch [114/300], Train Loss: 0.001758, Val Loss: 0.002088, Epoch Time: 362.64s
Epoch [115/300], Train Loss: 0.001810, Val Loss: 0.002045, Epoch Time: 345.90s
Epoch [116/300], Train Loss: 0.001774, Val Loss: 0.001876, Epoch Time: 352.82s
Epoch [117/300], Train Loss: 0.001773, Val Loss: 0.002096, Epoch Time: 356.97s
Epoch [118/300], Train Loss: 0.001822, Val Loss: 0.001985, Epoch Time: 342.92s
Epoch [119/300], Train Loss: 0.001727, Val Loss: 0.001890, Epoch Time: 357.67s
Epoch [120/300], Train Loss: 0.001756, Val Loss: 0.001798, Epoch Time: 365.71s
Epoch [121/300], Train Loss: 0.001745, Val Loss: 0.001856, Epoch Time: 354.94s
Epoch [122/300], Train Loss: 0.001723, Val Loss: 0.001956, Epoch Time: 348.55s
Epoch [123/300], Train Loss: 0.001811, Val Loss: 0.001885, Epoch Time: 343.09s
Epoch [124/300], Train Loss: 0.001716, Val Loss: 0.001887, Epoch Time: 346.39s
Epoch [125/300], Train Loss: 0.001763, Val Loss: 0.001925, Epoch Time: 349.69s
Epoch [126/300], Train Loss: 0.001726, Val Loss: 0.001923, Epoch Time: 355.55s
Epoch [127/300], Train Loss: 0.001625, Val Loss: 0.001839, Epoch Time: 352.50s
Epoch [128/300], Train Loss: 0.001607, Val Loss: 0.001822, Epoch Time: 354.44s
Epoch [129/300], Train Loss: 0.001690, Val Loss: 0.001925, Epoch Time: 356.34s
Epoch [130/300], Train Loss: 0.001646, Val Loss: 0.001798, Epoch Time: 366.19s
Epoch [131/300], Train Loss: 0.001601, Val Loss: 0.001827, Epoch Time: 362.29s
Epoch [132/300], Train Loss: 0.001609, Val Loss: 0.002103, Epoch Time: 350.67s
Epoch [133/300], Train Loss: 0.001619, Val Loss: 0.001730, Epoch Time: 348.89s
Epoch [134/300], Train Loss: 0.001609, Val Loss: 0.002082, Epoch Time: 356.35s
Epoch [135/300], Train Loss: 0.001783, Val Loss: 0.001796, Epoch Time: 350.33s
Epoch [136/300], Train Loss: 0.001849, Val Loss: 0.003476, Epoch Time: 341.85s
Epoch [137/300], Train Loss: 0.001637, Val Loss: 0.001941, Epoch Time: 339.84s
Epoch [138/300], Train Loss: 0.001597, Val Loss: 0.001874, Epoch Time: 347.30s
Epoch [139/300], Train Loss: 0.001676, Val Loss: 0.001830, Epoch Time: 332.44s
Epoch [140/300], Train Loss: 0.001537, Val Loss: 0.001829, Epoch Time: 354.78s
Epoch [141/300], Train Loss: 0.001533, Val Loss: 0.001732, Epoch Time: 347.19s
Epoch [142/300], Train Loss: 0.001566, Val Loss: 0.001671, Epoch Time: 339.75s
Epoch [143/300], Train Loss: 0.001595, Val Loss: 0.001660, Epoch Time: 341.42s
Epoch [144/300], Train Loss: 0.001607, Val Loss: 0.001716, Epoch Time: 342.67s
Epoch [145/300], Train Loss: 0.001553, Val Loss: 0.001714, Epoch Time: 338.65s
Epoch [146/300], Train Loss: 0.001557, Val Loss: 0.001649, Epoch Time: 340.80s
Epoch [147/300], Train Loss: 0.001520, Val Loss: 0.001643, Epoch Time: 344.00s
Epoch [148/300], Train Loss: 0.001494, Val Loss: 0.001612, Epoch Time: 348.30s
Epoch [149/300], Train Loss: 0.001549, Val Loss: 0.001704, Epoch Time: 341.70s
Epoch [150/300], Train Loss: 0.001526, Val Loss: 0.001663, Epoch Time: 340.25s
Epoch [151/300], Train Loss: 0.001523, Val Loss: 0.001602, Epoch Time: 340.79s
Epoch [152/300], Train Loss: 0.001507, Val Loss: 0.001674, Epoch Time: 353.97s
Epoch [153/300], Train Loss: 0.001500, Val Loss: 0.001641, Epoch Time: 336.83s
Epoch [154/300], Train Loss: 0.001529, Val Loss: 0.001682, Epoch Time: 345.50s
Epoch [155/300], Train Loss: 0.001449, Val Loss: 0.001630, Epoch Time: 342.30s
Epoch [156/300], Train Loss: 0.001494, Val Loss: 0.001676, Epoch Time: 349.68s
Epoch [157/300], Train Loss: 0.001432, Val Loss: 0.001550, Epoch Time: 342.74s
Epoch [158/300], Train Loss: 0.001455, Val Loss: 0.001544, Epoch Time: 340.85s
